Team Name,Games,Minutes Played,Field Goals Made,Field Goals Attempted,Field Goal Percentage,2P Made,2P Attempted,2P Percentage,3P Made,3P Attempted,3P Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Total Points,Effective Field Goal %,Expected Possessions,Possessions,Opponent Field Goals Made,Opponent Field Goals Attempted,Opponent Field Goal Percentage,Opponent 2P Made,Opponent 2P Attempted,Opponent 2P Percentage,Opponent 3P Made,Opponent 3P Attempted,Opponent 3P Percentage,Opponent Free Throws Made,Opponent Free Throws Attempted,Opponent Free Throw Percentage,Opponent Offensive Rebounds,Opponent Defensive Rebounds,Opponent Total Rebounds,Opponent Assists,Opponent Steals,Opponent Blocks,Opponent Turnovers,Opponent Personal Fouls,Opponent Total Points,Opponent Effective Field Goal %,Box Plus/Minus,Alpha,Beta
auburn,38,7625,1116,2344,0.476,773,1388,0.557,343,956,0.359,578,795,0.727,449,974,1423,613,261,224,359,702,3153,0.5492747440273038,2971.0,0,894,2192,0.408,663,1418,0.468,231,774,0.298,619,848,0.73,411,865,1276,361,232,107,458,672,2638,0.46053832116788324,0.0,0.5719506624029237,0.4280493375970763
alabama,37,7450,1147,2371,0.484,757,1267,0.597,390,1104,0.353,671,932,0.72,459,1108,1567,636,228,167,469,700,3355,0.566005904681569,3152.0,0,1074,2523,0.426,809,1650,0.49,265,873,0.304,594,837,0.71,462,902,1364,481,288,153,382,758,3007,0.4782005548949663,0.0,0.562298142417476,0.43770185758252406
florida,40,8000,1182,2510,0.471,792,1413,0.561,390,1097,0.356,637,875,0.728,549,1124,1673,619,296,179,444,683,3391,0.548605577689243,3250.0,0,976,2441,0.4,709,1532,0.463,267,909,0.294,565,794,0.712,460,876,1336,441,261,123,469,701,2784,0.45452683326505533,0.0,0.568685254769503,0.4313147452304969
duke,39,7800,1129,2289,0.493,735,1269,0.579,394,1020,0.386,594,752,0.79,415,1073,1488,662,262,153,363,618,3246,0.5792922673656619,2928.0,0,879,2287,0.384,606,1410,0.43,273,877,0.311,417,572,0.729,402,805,1207,443,206,119,443,647,2448,0.4440314822912112,0.0,0.5773436350521606,0.4226563649478395
tennessee,38,7600,967,2138,0.452,654,1211,0.54,313,927,0.338,566,760,0.745,437,945,1382,586,263,181,397,579,2813,0.525491113189897,2798.0,0,834,2161,0.386,558,1198,0.466,276,963,0.287,451,610,0.739,410,792,1202,392,224,111,436,674,2397,0.44979176307265156,0.0,0.5596603150598803,0.4403396849401197
houston,40,8125,1070,2384,0.449,744,1556,0.478,326,828,0.394,480,649,0.74,512,963,1475,483,310,184,360,651,2946,0.5171979865771812,2967.0,0,786,2054,0.383,517,1162,0.445,269,892,0.302,505,703,0.718,386,877,1263,457,198,108,529,630,2346,0.4481499513145083,0.0,0.5791964698765169,0.42080353012348315
purdue,36,7200,985,2027,0.486,688,1249,0.551,297,778,0.382,514,702,0.732,352,831,1183,574,230,59,375,570,2781,0.559200789343858,2641.0,0,914,2024,0.452,645,1161,0.556,269,863,0.312,436,609,0.716,351,756,1107,530,213,106,418,644,2533,0.5180335968379447,0.0,0.5481611208406305,0.45183887915936954
texas-am,34,6850,857,2050,0.418,620,1277,0.486,237,773,0.307,586,847,0.692,543,852,1395,406,257,137,414,594,2537,0.47585365853658534,2736.0,0,765,1884,0.406,475,1014,0.468,290,870,0.333,516,672,0.768,331,769,1100,495,263,184,451,676,2336,0.4830148619957537,0.0,0.5467199385255028,0.4532800614744972
st-johns-ny,36,7300,1054,2366,0.445,833,1632,0.51,221,734,0.301,496,718,0.691,535,952,1487,565,320,186,392,601,2825,0.4921808960270499,2988.0,0,836,2107,0.397,573,1247,0.46,263,860,0.306,433,646,0.67,404,876,1280,462,235,136,547,626,2368,0.45918367346938777,0.0,0.5508690021890149,0.4491309978109851
iowa-state,35,7100,982,2034,0.483,714,1286,0.555,268,748,0.358,580,770,0.753,361,877,1238,524,325,120,420,566,2812,0.5486725663716814,2723.0,0,841,2001,0.42,566,1183,0.478,275,818,0.336,435,580,0.75,340,760,1100,468,261,114,533,635,2392,0.4890054972513743,0.0,0.5,0.5
